union_chann_cn,puin,vv,zan_cnt,shoucang_cnt,share_cnt,f_fans_cnt,youzhi_cnt
旅游,2891391750,53411,132,1,22,0,0
旅游,1001001043567,29621,123,2,32,0,0
旅游,1655360882,578393,1369,3,287,0,0
旅游,2785376268,42288,493,8,186,0,0
旅游,2908535717,1719896,6318,27,526,0,0
旅游,1001000321146,309429,1045,15,126,0,0
旅游,1546706739,114509,963,29,684,0,0
旅游,2151640737,43115,483,21,80,0,1
旅游,1253724640,66630,265,15,81,0,2
旅游,2046827431,643606,1590,14,217,0,0
旅游,3445861248,79508,166,1,88,0,0
旅游,1001000451204,498771,2238,20,216,0,0
旅游,992878586,27759,93,0,8,0,0
旅游,2148884329,322866,555,4,83,52083,0
旅游,1257064177,315996,845,2,120,0,0
旅游,1550531303,100923,328,2,209,0,0
旅游,1561331855,50561,110,1,35,0,0
旅游,2422637715,256362,732,6,134,0,3
旅游,2847924469,38461,344,11,173,0,0
旅游,3241225240,61563,211,1,11,0,0
旅游,1204376840,35768,84,1,31,0,0
旅游,1390437938,98068,355,13,135,0,3
旅游,2679988592,37227,55,2,23,0,1
旅游,3470245612,101849,723,8,60,0,0
旅游,1001003998214,35199,97,0,9,0,0
旅游,1534625483,45793,63,1,30,0,0
旅游,3174437366,70585,296,4,148,383,0
旅游,1762332192,45215,95,7,93,1000,8
旅游,2483118390,342846,529,7,239,0,0
旅游,2769985495,42663,81,3,74,0,0
旅游,3374923775,89022,96,2,80,0,0
旅游,3348198175,43684,77,1,49,0,1
旅游,3073526256,75231,121,1,24,0,0
旅游,1516867723,74426,74,1,94,0,0
旅游,3271505773,27464,315,36,157,3128,0
旅游,1516001874,37299,57,3,2,0,0
旅游,1294861055,64294,161,4,95,0,0
旅游,1510845229,93513,158,1,112,0,0
旅游,1541619784,26814,85,0,24,0,0
旅游,1461048058,54304,70,0,50,0,0
旅游,3418547464,491218,556,12,644,0,1
旅游,3504723361,28604,47,0,27,0,0
旅游,2046827431,643606,1590,14,217,0,0
旅游,2080935332,99387,128,0,41,0,40
旅游,1732816828,53057,355,2,56,0,0
旅游,3365759626,38954,351,3,127,0,0
旅游,1001000100904,31734,104,1,16,0,0
旅游,1774239440,35331,43,0,13,0,0
旅游,2691788514,91471,234,3,71,0,2
旅游,1528033440,53253,242,34,55,0,0
旅游,1257064177,315996,845,2,120,0,0
旅游,1508960031,30289,132,4,85,0,0
旅游,3043190188,47760,47,5,63,0,0
旅游,1466824691,32111,30,0,17,0,0
旅游,572039758,54053,94,0,6,0,3
旅游,1919004853,251450,1170,26,712,0,0
旅游,1001000080662,69893,230,5,15,0,0
旅游,1001001538253,26354,195,14,13,0,0
旅游,1551585138,46197,224,3,65,0,0
旅游,1494641134,58481,170,1,112,0,0
旅游,1515003279,54139,131,0,40,0,0
旅游,3056952046,32348,45,0,14,0,0
旅游,1508823208,133788,233,0,31,0,0
旅游,2070523409,42600,255,5,110,0,1
旅游,2394474335,74032,26,0,10,0,0
旅游,1001000940697,42574,153,1,30,0,0
旅游,1513975480,516877,2330,24,621,0,0
旅游,1587229852,702088,1803,21,1023,0,0
旅游,2151640737,43115,483,21,80,0,1
旅游,1542597054,28676,48,1,35,0,0
旅游,1740747796,58077,729,16,51,0,0
旅游,1001000846177,98141,291,10,31,0,0
旅游,1322711913,136995,122,9,115,0,0
旅游,2877087656,63640,87,2,49,0,0
旅游,1001001043174,35419,116,1,14,0,0
旅游,1489542407,254452,302,7,245,0,0
旅游,1001000709808,294593,886,18,107,0,0
旅游,1500288117,272595,2523,52,2634,0,0
旅游,1685921246,30034,43,2,33,0,0
旅游,1827175661,102016,570,6,35,0,0
旅游,2908535717,1719896,6318,27,526,0,0
旅游,1001001823103,1381377,3774,96,590,0,0
旅游,526963012,29169,113,1,26,0,0
旅游,1165665537,195185,560,4,95,0,1
旅游,2016414634,170325,275,0,32,0,0
旅游,1204376840,35768,84,1,31,0,0
旅游,1504063531,34544,117,4,68,0,0
旅游,1807747979,35896,102,4,20,0,0
旅游,1001000845112,49192,223,9,34,0,0
旅游,1542685735,28195,18,1,6,0,0
旅游,428807003,41636,137,1,106,0,0
旅游,1001002599690,31777,280,11,121,0,0
旅游,1628830550,93448,293,0,19,0,1
旅游,1001000448454,31520,75,2,7,0,0
旅游,1516954733,30527,27,2,13,0,0
旅游,1550526406,178002,141,0,178,0,0
旅游,2125411357,395265,1446,41,437,0,2065
旅游,3297821360,42409,158,2,51,0,0
旅游,3522260753,36245,73,1,11,0,0
旅游,1001000235109,42630,449,14,43,0,0
旅游,1702909835,430081,1179,6,390,0,0
旅游,3314850954,43036,135,3,114,0,0
旅游,1001003818356,85097,484,5,144,0,2
旅游,1562154729,176041,367,0,22,0,0
旅游,1641766980,38409,61,0,29,0,0
旅游,2685696382,26683,379,3,60,0,0
旅游,1490694745,41040,45,1,18,0,0
旅游,898802624,30129,152,2,38,0,0
旅游,1220093409,66783,331,0,16,0,1
旅游,1001001042976,65492,175,7,40,0,0
旅游,3027038767,58347,152,2,198,0,1
旅游,1001003894082,45045,253,3,37,0,0
旅游,2038115764,93070,718,22,664,0,0
旅游,2460735793,106920,407,28,303,0,0
旅游,3490906047,29157,29,0,13,0,1
旅游,1497013953,272954,646,11,529,0,0
旅游,1503978399,34763,35,0,8,0,0
旅游,2493510775,52507,89,5,27,0,0
旅游,3174437366,70585,296,4,148,0,0
旅游,1001000037447,32243,111,2,49,0,0
旅游,1001004138292,143860,447,13,62,0,0
旅游,1729564207,352311,900,31,130,0,0
旅游,2422637715,256362,732,6,134,0,3
旅游,3406601758,35554,55,1,6,0,0
旅游,1486657986,41985,73,2,35,0,0
旅游,2267338860,63611,181,9,32,0,1
旅游,3080482213,93092,86,4,43,0,0
旅游,1001000451204,498771,2238,20,216,0,0
旅游,1001001299034,39965,159,1,66,0,0
旅游,1762332192,45215,95,7,93,0,8
旅游,1824329431,43090,225,7,225,0,0
旅游,2643083711,514797,660,0,84,0,1
旅游,1504982511,157375,553,0,78,0,1
旅游,2642501534,797124,1561,38,2337,0,0
旅游,3477003479,37442,40,2,21,0,0
旅游,1494772989,45530,186,6,11,0,0
旅游,2075733524,213168,2343,84,523,0,1
旅游,2120443143,350471,1005,12,724,0,0
旅游,2407376518,30927,108,4,33,0,41
旅游,2959553404,102221,151,4,117,0,0
旅游,1565272145,46168,110,2,7,0,0
旅游,1001000973529,30945,120,0,34,0,0
旅游,431381531,91371,235,2,14,0,0
旅游,1503988366,167444,350,2,115,0,0
旅游,2724074015,29874,54,2,9,0,0
旅游,1815959366,356981,1031,5,704,0,0
旅游,1001001043433,201598,769,15,75,0,0
旅游,2531554601,75561,131,0,79,0,0
旅游,1773797081,84942,123,1,54,0,0
旅游,3416818279,32308,36,1,43,0,0
旅游,1379381627,32385,43,3,18,0,0
旅游,1533454207,44597,223,11,83,0,0
旅游,1546706739,114509,963,29,684,0,0
旅游,3022586687,36756,57,0,69,0,2
旅游,2797673126,75995,186,8,132,0,33
旅游,2393681779,95176,90,7,67,0,1
旅游,481067728,58484,81,2,157,0,0
旅游,1846825847,48334,190,0,19,0,0
旅游,3539860387,30566,26,2,10,0,0
旅游,1521817653,189125,316,0,46,0,0
旅游,1561154609,104874,145,2,105,0,0
旅游,1537719322,359298,726,0,70,0,0
旅游,1779038629,36514,151,1,25,0,1
旅游,1001000321146,309429,1045,15,126,0,0
旅游,1761715005,62913,147,1,61,0,0
旅游,2645384660,76161,234,1,28,0,0
旅游,1923343282,59734,176,7,25,0,0
旅游,2127803107,47630,162,0,19,0,1
旅游,2762161474,165526,1146,21,218,0,0
旅游,1001003213323,54208,156,1,35,0,0
旅游,2170655340,90373,681,5,33,0,0
旅游,3544766614,29773,95,0,21,0,0
旅游,359722969,30759,193,2,119,0,0
旅游,1508879007,76796,144,0,32,0,0
旅游,1514975854,45031,42,0,31,0,0
旅游,2191009366,171780,201,0,10,0,1
旅游,1001001726769,2350624,8425,89,856,0,0
旅游,992878586,27759,93,0,8,0,0
旅游,1473093391,71222,611,21,179,0,0
旅游,1001000448170,57681,230,5,32,0,0
旅游,1501017165,34332,25,0,13,0,0
旅游,2771836259,41606,337,57,193,0,1
旅游,3423139547,63261,163,1,45,0,0
旅游,3387428628,58638,47,3,76,0,0
旅游,3598163821,269017,924,45,343,0,2
旅游,1001000031829,226627,951,29,186,0,0
旅游,1511987661,43135,141,3,23,0,0
旅游,1539536537,520731,1271,8,193,0,0
旅游,1001000321332,164826,632,16,109,0,0
旅游,1530581156,33292,86,55,65,0,0
旅游,1001002747015,302299,909,12,102,0,0
旅游,1438160392,306579,807,6,193,0,0
旅游,2785376268,42288,493,8,186,0,0
旅游,3342188294,107281,37,4,26,0,0
旅游,3419957714,60044,330,1,120,0,1
旅游,3262727600,32379,57,1,18,0,0
旅游,3378364362,26507,60,0,7,0,5
旅游,3039631583,31109,42,0,15,0,0
旅游,3099672160,101057,1515,10,354,0,1
旅游,3459001971,27423,117,3,60,0,0
旅游,3544204346,37170,148,1,14,0,0
旅游,1722454630,61096,238,0,75,0,0
旅游,1001000845025,144167,393,13,53,0,0
旅游,1505871197,40954,53,0,31,0,0
旅游,2582398429,43790,554,3,74,0,0
旅游,1001000321258,92793,287,8,36,0,0
旅游,1992400073,30053,273,1,78,0,0
旅游,1001003587497,28519,200,3,14,0,0
旅游,2125683244,639585,1563,3,307,0,1
旅游,3463606618,79769,555,25,260,0,0
旅游,1514919849,75642,46,0,18,0,0
旅游,3073526256,75231,121,1,24,0,0
旅游,2543824596,51427,99,2,53,0,0
旅游,3026665185,608916,2119,10,495,0,0
旅游,2891391750,53411,132,1,22,0,0
旅游,3252086612,45174,164,3,91,0,0
旅游,488145301,218404,324,2,60,0,0
旅游,3271362942,39453,34,1,14,0,0
旅游,1001001039670,39238,158,8,19,0,0
旅游,1001001041448,121535,495,10,65,0,0
旅游,761699541,59092,69,0,6,0,0
旅游,3286721973,35142,258,6,226,0,0
旅游,766069940,100099,116,2,82,0,0
旅游,791702235,49303,367,13,32,0,0
旅游,3093467948,28409,119,2,45,0,0
旅游,3387022935,57269,266,8,116,0,1
旅游,2431413958,34032,177,2,922,0,0
旅游,3192296275,50790,164,4,38,0,0
旅游,2430456082,131680,279,1,140,0,0
旅游,1001000321279,711754,3043,29,449,0,0
旅游,1001000448386,226637,931,17,85,0,0
旅游,1549688250,49701,180,2,100,0,0
旅游,1558690895,267585,529,6,292,0,0
旅游,3072400941,57098,22,4,44,0,0
旅游,1055720660,130175,408,8,333,0,0
旅游,2665387339,516159,1719,60,414,0,0
旅游,1598077448,26680,11,0,17,0,0
旅游,3509895945,30562,150,9,71,0,0
旅游,230581965,29197,382,7,58,0,0
旅游,3590246516,34018,130,3,53,0,1
旅游,1280687613,34160,189,2,27,0,0
旅游,1517962981,58327,211,1,48,0,0
旅游,1687855109,33052,74,2,69,0,0
旅游,1647270848,34434,120,3,11,0,0
旅游,1695803943,250314,494,19,397,0,0
旅游,2874109594,85259,116,4,92,0,0
旅游,3268427176,64794,114,1,32,0,1
旅游,3156854169,39150,28,0,14,0,0
旅游,2172189546,32205,29,3,19,0,0
旅游,3375310732,161965,683,13,364,0,0
旅游,1651240751,93405,407,0,47,0,0
旅游,3316151287,98158,148,4,97,0,0
旅游,1562731241,29435,11,1,4,0,0
旅游,1001001965836,28877,69,0,6,0,2
旅游,3424284380,30583,44,2,6,0,1
旅游,3271505773,27464,315,36,157,0,0
旅游,1576242574,108278,285,0,18,0,2
旅游,1001001042962,71834,282,8,34,0,0
旅游,1766874700,68912,177,9,24,0,0
旅游,1642331840,54987,50,2,90,0,2
旅游,732099301,65753,428,6,122,0,1
旅游,2530350031,502220,1299,24,152,0,0
旅游,1001000221434,142962,251,2,17,0,3
旅游,1836287196,44333,36,1,17,0,0
旅游,3266958471,48597,228,4,151,0,0
旅游,1001001111921,32359,112,7,11,0,0
旅游,3275581908,31573,214,2,184,0,0
旅游,3190834786,1763449,4340,30,419,0,1
旅游,1532568022,55685,36,0,41,0,1
旅游,2303480948,27698,12,0,3,0,0
旅游,1811323050,33070,129,2,120,0,0
旅游,3243622119,29702,82,3,27,0,0
旅游,1001000037192,36001,61,0,43,0,0
旅游,230684332,55628,68,1,57,0,0
旅游,3255107551,38001,38,1,18,0,1
旅游,2656627300,47141,129,6,42,0,0
旅游,1522971293,34053,57,0,110,0,0
旅游,1712087302,31990,41,4,32,0,0
旅游,1918954225,232825,1072,21,151,0,0
旅游,1512991778,68121,123,0,37,0,0
旅游,1545695945,40736,219,2,64,0,0
旅游,1001001726340,428750,1129,27,160,0,0
旅游,1535557007,189238,261,2,592,0,0
旅游,2449836841,169373,298,3,147,0,0
旅游,1547605732,159185,507,6,187,0,0
旅游,2412769517,53562,270,10,338,0,0
旅游,3089423808,31991,259,17,145,0,0
旅游,1486551289,41020,77,1,6,0,0
旅游,2737839220,43742,104,1,46,0,38
旅游,3338664187,75723,377,4,338,0,0
旅游,3297524368,81662,104,3,101,0,0
旅游,1961500048,34249,51,2,71,0,0
旅游,2380752913,78398,87,1,48,0,0
旅游,2387678565,32629,74,2,22,0,3
旅游,1228475910,52841,899,20,223,0,0
旅游,1499448791,32640,266,6,284,0,0
旅游,1092108934,155485,671,2,174,0,0
旅游,2212856833,71668,268,6,93,0,0
旅游,2845749109,48578,45,2,39,0,0
旅游,2780859610,61902,276,14,169,0,0
旅游,3450402547,28294,251,8,45,0,0
旅游,2769985495,42663,81,3,74,0,0
旅游,1490655477,36308,55,3,22,0,0
旅游,3220826521,220813,1721,15,190,0,0
旅游,3249184362,68119,346,7,55,0,0
旅游,194874526,69340,32,2,15,0,0
旅游,2334374112,596075,2526,7,380,0,0
旅游,2810248545,77578,270,1,23,0,0
旅游,3326136035,41930,35,1,30,0,0
旅游,1501049840,140170,339,11,287,0,0
旅游,3214571834,26639,55,1,48,0,0
旅游,3495533182,175651,940,26,600,0,0
旅游,3470245612,101849,723,8,60,0,0
旅游,702308783,63329,27,0,19,0,0
旅游,1494712651,310347,617,2,75,0,1
旅游,1521048244,62254,226,16,147,0,0
旅游,1570065348,49431,96,0,76,0,0
旅游,1531528156,528292,763,1,104,0,0
旅游,2176341992,36955,265,7,61,0,1
旅游,1001000846406,72045,233,6,25,0,0
旅游,485546305,236745,437,1,119,0,0
旅游,3348198175,43684,77,1,49,0,1
旅游,2462871409,101515,456,13,68,0,0
旅游,1521952982,414108,726,1,78,0,0
旅游,1740704457,34215,173,2,17,0,0
旅游,1001001919873,116205,186,0,33,0,0
旅游,1390437938,98068,355,13,135,0,3
旅游,3134826188,36578,168,8,24,0,0
旅游,2040429867,32373,183,6,33,0,0
旅游,1497533256,104642,67,2,48,0,0
旅游,3403226415,64926,115,0,53,0,0
旅游,1485679421,31043,194,3,175,0,0
旅游,1715594417,593506,1305,3,200,0,0
旅游,2219236995,28917,34,0,18,0,0
旅游,3599976511,132453,269,1,155,0,0
旅游,1001001043567,29621,123,2,32,0,0
旅游,3125169613,64545,92,1,99,0,1
旅游,3428972633,377260,821,2,106,0,4
旅游,3496203686,45006,122,1,18,0,0
旅游,2997923706,57927,584,73,105,0,0
旅游,3217910939,29985,68,0,24,0,35
旅游,2644718351,35646,85,1,79,0,0
旅游,2788951279,45117,190,10,66,0,0
旅游,1001000846594,314385,1169,10,107,0,0
旅游,1764762115,65706,685,10,81,0,1
旅游,2095255874,33461,17,0,11,0,0
旅游,3495870957,95320,373,7,68,0,1
旅游,3538130073,55942,188,4,68,0,0
旅游,1317413608,37574,16,0,14,0,0
旅游,1474465990,336745,634,1,105,0,1
旅游,1601974761,59455,68,2,84,0,0
旅游,1001000846844,64469,144,5,33,0,0
旅游,2961108517,36255,67,1,43,0,0
旅游,1001001049483,64757,228,8,28,0,0
旅游,615896269,1829299,4859,6,463,0,2
旅游,1287267072,57826,132,5,55,0,0
旅游,3441282155,190079,177,1,147,0,0
旅游,1513894741,27269,51,0,30,0,0
旅游,2178418818,77574,151,4,19,0,0
旅游,1001001271845,41886,86,4,24,0,0
旅游,1620938616,31936,335,14,175,0,0
旅游,1490606033,28314,47,1,14,0,0
旅游,1639891497,37238,132,1,64,0,0
旅游,2947136052,84661,443,12,123,0,2
旅游,1505002688,39129,24,0,30,0,0
旅游,1970996362,55407,77,3,32,0,0
旅游,2351316061,381222,650,3,190,0,0
旅游,1001000385985,34889,109,4,10,0,0
旅游,1612129064,36117,62,0,34,0,0
旅游,1653224934,297355,2503,34,691,0,0
旅游,1921871169,39152,182,1,60,0,0
旅游,3389755565,59351,84,3,49,0,0
旅游,1447841436,28175,107,6,61,0,0
旅游,1665238575,89581,655,6,254,0,0
旅游,1738614305,286784,1155,19,138,0,0
旅游,2847446572,55981,336,8,225,0,0
旅游,1312245089,33509,173,1,101,0,0
旅游,3206215172,43593,172,3,25,0,0
旅游,3470208944,1011365,2623,6,347,0,0
旅游,3030483552,53425,221,3,134,0,0
旅游,2296325311,32329,101,3,17,0,0
旅游,3261833668,114664,504,19,133,0,0
旅游,211671635,73086,93,0,118,0,0
旅游,3472832173,39419,147,2,50,0,3
旅游,1915996108,27846,315,13,31,0,0
旅游,1919796328,160601,748,7,156,0,0
旅游,2679988592,37227,55,2,23,0,1
旅游,1001002741335,1861742,10296,58,1109,0,0
旅游,2435153564,63235,117,5,50,0,0
旅游,3374923775,89022,96,2,80,0,0
旅游,1486541859,64805,72,4,66,0,0
旅游,2646807601,41913,221,0,63,0,0
旅游,3041951869,34368,124,1,38,0,0
旅游,3202442706,46115,181,3,118,0,0
旅游,2421124357,72758,182,3,70,0,0
旅游,3540481185,116962,405,11,275,0,0
旅游,1022826645,95491,272,15,44,0,2
旅游,1491503544,157082,155,4,121,0,0
旅游,1927536592,72711,1099,8,55,0,2
旅游,2248240371,50983,170,3,41,0,0
旅游,3300701054,34099,59,0,25,0,0
旅游,1753714695,67043,268,13,139,0,0
旅游,1001000321141,33368,118,5,11,0,0
旅游,1001000450566,44674,227,2,37,0,0
旅游,1520864705,154555,132,2,78,0,0
旅游,1655360882,578393,1369,3,287,0,0
旅游,2847924469,38461,344,11,173,0,0
旅游,1294175475,32577,115,1,14,0,0
旅游,1749142169,179330,242,0,58,0,35
旅游,2174202698,36045,284,0,89,0,0
旅游,1484860599,272842,864,1,63,0,0
旅游,1612971550,37546,704,13,44,0,1
旅游,1369347157,134476,230,6,141,0,0
旅游,1513006446,65203,90,2,17,0,0
旅游,1678266754,166695,102,14,66,0,0
旅游,1779776096,37182,71,2,31,0,0
旅游,3346094092,79317,201,0,16,0,0
旅游,2754796837,214871,290,2,80,0,0
旅游,3313292821,220388,758,24,184,0,0
旅游,1508987050,34233,29,2,22,0,0
旅游,1538532792,60463,100,0,87,0,0
旅游,1543661496,268291,766,1,203,0,0
旅游,2045754898,114683,137,4,46,0,0
旅游,1001001099166,119815,504,6,34,0,0
旅游,178336817,62852,106,0,73,0,0
旅游,1517036076,36920,14,2,10,0,0
旅游,3402340588,27956,50,2,17,0,0
旅游,3112181401,31585,157,6,41,0,0
旅游,1514063938,29713,306,7,38,0,0
旅游,1489559197,123291,150,2,73,0,0
旅游,1001000448280,87373,378,9,35,0,0
旅游,1617055401,213291,491,4,97,0,0
旅游,3079567064,62273,164,7,39,0,3
旅游,1724514346,70310,203,3,39,0,0
旅游,1565060023,158176,644,37,107,0,0
旅游,3271433695,95708,279,3,124,0,0
旅游,1778768708,27576,19,3,24,0,0
旅游,3418298423,197567,570,1,25,0,0
旅游,706909247,34948,63,1,24,0,0
旅游,3499894848,28307,374,9,69,0,0
旅游,862832602,27117,129,4,49,0,0
旅游,2476586872,27596,82,2,11,0,0
旅游,3432624833,44912,71,1,40,0,2
旅游,1518922869,35121,88,3,30,0,0
旅游,3481260024,33834,263,6,61,0,1
旅游,1001001275323,49112,158,6,42,0,0
旅游,2371177172,42386,45,1,38,0,0
旅游,2494734148,128238,291,3,43,0,15
旅游,420681853,42780,277,22,66,0,0
旅游,2188357039,143242,390,1,120,0,2
旅游,420881664,795632,2083,58,305,0,0
旅游,2123857619,30019,29,2,6,0,2
旅游,1001000031326,91211,527,7,247,0,1
旅游,1524983081,39108,274,0,94,0,1
旅游,1643972410,39255,32,0,20,0,0
旅游,1525894470,26195,39,3,20,0,0
旅游,1412263450,36631,176,2,25,0,0
旅游,2077508466,359587,1835,16,2874,0,0
旅游,3378808191,34615,47,2,31,0,0
旅游,1001000037191,66673,81,3,56,0,0
旅游,3523162756,239448,522,2,95,0,0
旅游,1536629253,107595,94,4,111,0,0
旅游,1975515894,61325,88,0,44,0,0
旅游,2148884329,322866,555,4,83,0,0
旅游,1755391629,626242,1560,19,167,0,1
旅游,3303649083,40592,115,0,33,0,0
旅游,3428741823,115218,704,43,223,0,0
旅游,1575234183,37600,403,11,101,0,0
旅游,2033465351,26211,133,1,38,0,0
旅游,2164312964,32540,143,10,206,0,25
旅游,2207898831,128064,228,4,87,0,0
旅游,3068520384,80146,705,0,652,0,0
旅游,2128795680,36466,68,0,4,0,2
旅游,2428203907,293023,432,2,415,0,0
旅游,3468898642,40923,168,1,49,0,0
旅游,1502940883,60436,83,0,179,0,0
旅游,3397732485,84677,103,2,53,0,0
旅游,3287234935,141162,256,2,164,0,0
旅游,2663499247,302948,326,23,100,0,0
旅游,3241225240,61563,211,1,11,0,0
旅游,3029524609,86250,90,2,28,0,0
旅游,1584265244,66781,78,1,29,0,0
旅游,2692198651,28845,174,14,49,0,0
旅游,2995609376,65340,91,0,54,0,0
旅游,1253724640,66630,265,15,81,0,2
旅游,1571279607,100551,318,4,166,0,0
旅游,2691836719,66971,64,8,39,0,0
旅游,3622970954,52831,47,2,14,0,0
旅游,1516937699,95961,146,3,49,0,0
旅游,2404383483,43732,27,2,22,0,0
旅游,3337036739,172575,341,3,348,0,0
旅游,3594105694,229041,352,13,166,0,0
旅游,1001001274811,27604,112,1,22,0,0
旅游,3274405202,39168,192,4,225,0,0
旅游,298861375,43148,99,3,139,0,0
旅游,1519889523,30667,16,0,9,0,0
旅游,2012196821,34401,155,0,22,0,0
旅游,1687866770,44175,203,1,45,0,0
旅游,1001000029184,31737,211,5,111,0,1
旅游,838765207,66021,917,26,200,0,5
旅游,1534625483,45793,63,1,30,0,0
旅游,1352270745,33188,27,0,18,0,0
旅游,1419655279,36288,87,0,43,0,0
旅游,1522821810,61372,54,1,19,0,0
旅游,1535573966,157238,224,3,127,0,0
旅游,1785672203,62656,1235,20,84,0,0
旅游,1490524405,87765,135,2,62,0,0
旅游,1600966748,64775,69,0,14,0,0
旅游,3445861248,79508,166,1,88,0,0
旅游,1550531303,100923,328,2,209,0,0
旅游,2244289993,55989,155,1,81,0,0
旅游,2483118390,342846,529,7,239,0,0
旅游,1001000321133,35343,99,0,6,0,0
旅游,1516867723,74426,74,1,94,0,0
旅游,1561331855,50561,110,1,35,0,0
旅游,2518712559,81613,206,8,108,0,0
旅游,3190165260,28232,19,3,33,0,0
旅游,3505966862,57522,333,14,133,0,0
旅游,1001001726716,645683,1793,40,227,0,0
旅游,1537543958,57002,83,1,50,0,0
旅游,1542597642,33653,445,8,110,0,0
旅游,1619158220,35649,91,1,26,0,0
旅游,1637629461,26883,50,4,46,0,0
旅游,3238978254,93521,805,4,798,0,0
旅游,2494976709,46652,171,1,23,0,0
旅游,2778990490,149043,680,12,127,0,0
旅游,1514945285,378299,518,0,169,0,0
旅游,1659164917,245260,354,21,166,0,0
旅游,3496926772,30425,134,1,86,0,0
旅游,1153675176,115573,631,0,16,0,0
旅游,1700851241,41080,244,0,17,0,1
旅游,3365599692,65772,80,4,34,0,0
旅游,480194349,545140,443,13,571,0,0
旅游,3385107010,119072,301,0,46,0,0
旅游,1001003998214,35199,97,0,9,0,0